sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,Pop_broad,Pop_geoLoc2
Hidatsa,-0.173696786,0.023377133,-0.070856072,-0.061934598,0.051815799,0.01384371,0.017612517,Landrace,Landrace
Hopi_dye_NEW,-0.070365712,0.000480082,-0.0224391,-0.071559301,0.032038913,0.013413133,-0.029959,Landrace,Landrace
Hopi_mapping_NEW,-0.049423997,-0.001622038,-0.019503268,-0.08200569,0.034747194,0.015264822,-0.034403371,Landrace,Landrace
Hopi_real_NEW,-0.162794918,0.020709629,-0.071664292,-0.06773588,0.051600301,0.015917991,0.0138612,Landrace,Landrace
IA1W_1,-0.032869785,-0.035051808,0.034375722,-0.002709076,-0.036211577,-0.003551088,-0.051477264,Wild,IA
IA1W_11,-0.028233606,-0.032454274,0.028061895,-0.000971999,-0.034502671,-0.001150589,-0.047833444,Wild,IA
IA1W_11R,0.02988602,-0.046156086,0.0550241,-0.000347608,-0.053645473,0.000414477,-0.06920465,Wild,IA
IA1W_15,0.015732823,-0.042961457,0.051192865,-0.002183598,-0.050505405,-0.001333198,-0.060739058,Wild,IA
IA1W_2,0.032475045,-0.048866108,0.064174466,0.0018431,-0.052598297,-0.004897645,-0.078795432,Wild,IA
IA1W_21,0.00318106,-0.047225977,0.055076576,0.003068531,-0.056495987,-0.003373825,-0.074973908,Wild,IA
IA1W_28,-0.066100169,-0.019615518,0.013685651,-0.010796453,-0.024781487,-0.001297713,-0.038125325,Wild,IA
IA1W_33,0.020326076,-0.040352017,0.048318829,0.003338025,-0.039464765,-0.00072779,-0.051855221,Wild,IA
IA1W_39,0.032356409,-0.044586391,0.056576689,0.010280189,-0.046410325,-0.000380447,-0.051642575,Wild,IA
IA1W_4,0.025275072,-0.046437854,0.0643458,0.0014374,-0.058217988,-0.002871554,-0.078381045,Wild,IA
IA1W_5,0.047897187,-0.043711085,0.055422133,0.009731924,-0.045118149,0.000277167,-0.057233948,Wild,IA
IA1W1_6_308,-0.092869861,0.007005816,-0.021789766,-0.013149756,0.01076362,0.000641072,0.002734506,Wild,IA
IA2W_11,-0.004576707,-0.03156878,0.047149539,-0.017713582,-0.03679817,-0.004252142,-0.036086479,Wild,IA
IA2W_14,-0.063170814,-0.013829318,0.010969428,-0.023988798,-0.013878806,-0.003489509,-0.018250955,Wild,IA
IA2W_16,-0.019519308,-0.02706549,0.041061475,-0.028190822,-0.034549987,-0.006523683,-0.03391191,Wild,IA
IA2W_17,-0.053865462,-0.017565262,0.018711113,-0.026338563,-0.017475544,-0.004186793,-0.020064009,Wild,IA
IA2W_29,-0.034792041,-0.022504228,0.025061348,-0.022732153,-0.025516825,-0.004807033,-0.022097396,Wild,IA
IA2W_37,-0.057666529,-0.018443748,0.016844056,-0.024445242,-0.019571583,-0.002720153,-0.022851519,Wild,IA
IA2W_37R,-0.051475565,-0.020316022,0.01867708,-0.024033854,-0.017555561,-0.003433404,-0.021023169,Wild,IA
IA2W_38,-0.002349232,-0.029608698,0.039890552,-0.02377532,-0.03540327,-0.002769197,-0.022750531,Wild,IA
IA2W_39,-0.033664874,-0.023116184,0.027183371,-0.024307293,-0.022972076,-0.002951724,-0.023706158,Wild,IA
IA2W_6,-0.064562695,-0.018841068,0.015536052,-0.021755896,-0.017220938,-0.006214584,-0.017549587,Wild,IA
IA2W_7,0.004268374,-0.035078996,0.043101298,-0.017545077,-0.033223789,-0.004501429,-0.038499511,Wild,IA
KS1W_19,-0.007915337,-0.023401177,0.035946315,-0.019244688,-0.014853468,-0.011987099,-0.004719372,Wild,KS
KS1W_2,0.013351873,-0.048640945,0.013893838,0.058459669,-0.014557004,0.006583493,-0.032441217,Wild,KS
KS1W_24,0.043475894,-0.029228273,0.054711843,-0.017032264,-0.025336315,-0.007736676,-0.008660049,Wild,KS
KS1W_26,-0.028502867,-0.014496489,0.024833732,-0.024330368,-0.011506663,-0.006089369,0.007850188,Wild,KS
KS1W_27,0.042849992,-0.025546807,0.059652034,-0.026054142,-0.027094292,-0.011085643,0.007635195,Wild,KS
KS1W_29,0.004670701,-0.023712387,0.04533255,-0.019492407,-0.020255247,-0.010482624,0.003450719,Wild,KS
KS1W_3,0.044711562,-0.022557226,0.055571598,-0.027372041,-0.024033321,-0.009109512,0.007506749,Wild,KS
KS1W_32,0.059058266,-0.036751508,0.068596798,-0.016616787,-0.026329285,-0.013617031,-0.018258129,Wild,KS
KS1W_35,0.057834217,-0.032927906,0.059432892,-0.011217532,-0.02741858,-0.008535346,-0.020799827,Wild,KS
KS1W_40,-0.047829009,-0.010482599,0.010688224,-0.023208906,-0.000382034,-0.008322672,0.008869424,Wild,KS
KS1W_9,0.037132559,-0.029691837,0.055286733,-0.022356727,-0.022931655,-0.013202117,-0.000556376,Wild,KS
KS1W9_3_342,-0.069419945,0.009455576,-0.017882642,-0.012038013,0.010979017,-0.000114224,0.006818712,Wild,KS
KS2E_6,0.062332559,-0.029534251,0.051314193,-0.010979426,-0.016915436,-0.006541294,-0.003883003,Wild,KS
KS2W_12,-0.014576694,-0.01406906,0.021986117,-0.014894629,-0.000183937,-0.004867296,0.015019936,Wild,KS
KS2W_14,-0.031940049,-0.030425573,0.027164672,0.000104787,-0.020457202,-0.00142932,-0.026111161,Wild,KS
KS2W_15,0.050178078,-0.03578996,0.054669386,-0.004201853,-0.02036982,-0.010603015,-0.006922334,Wild,KS
KS2W_15R,-0.066383222,-0.007597051,0.00855347,-0.041957724,-0.005869411,-0.003820786,0.001296168,Wild,KS
KS2W_24,0.050390987,-0.035336905,0.045148122,0.00161318,-0.009884596,-0.010705935,-0.002406774,Wild,KS
KS2W_32,0.069231291,-0.031556426,0.058038121,-0.008972981,-0.017564925,-0.003915168,0.003000335,Wild,KS
KS2W_35,0.040159389,-0.057331306,0.037937484,0.051292142,-0.025493742,-0.002023506,-0.029959894,Wild,KS
KS2W_6_1R,0.029431801,-0.033740584,0.051267204,-0.007142945,-0.020159055,-0.008685344,-0.014781988,Wild,KS
KS2W_8,0.05253701,-0.030645799,0.057254446,-0.014069592,-0.020294663,-0.00770828,-0.007892534,Wild,KS
KS2W_9,-0.01351283,-0.017317152,0.023340263,-0.014818077,-0.001233243,-0.005715801,0.01075446,Wild,KS
KS2W24_7_43,-0.059225382,-0.002008293,-0.00429847,-0.023167722,0.010197149,-0.003890236,0.013940312,Wild,KS
Laguna_Pueblo,-0.181451505,0.024244026,-0.072784149,-0.059228159,0.053025279,0.012602001,0.017351998,Landrace,Landrace
Mandan1_PPN046,-0.167220882,0.025540632,-0.074606883,-0.071370758,0.057725543,0.015653532,0.015996935,Landrace,Landrace
Mandan2,-0.177154195,0.026229835,-0.07517401,-0.066170921,0.055743294,0.013856249,0.01792372,Landrace,Landrace
MB1W_11,-0.062945386,-0.034430729,-0.015033697,0.078413969,-0.00788543,0.006635353,-0.032252496,Wild,SK_MB
MB1W_14,-0.045415265,-0.044313288,-0.007789159,0.099086321,-0.016023855,0.006494555,-0.041390288,Wild,SK_MB
MB1W_16,-0.019978947,-0.062159976,0.001285983,0.13741225,-0.030690292,0.007008794,-0.067756965,Wild,SK_MB
MB1W_16B,0.005102198,-0.071161305,0.007926251,0.152651549,-0.039186303,0.008918807,-0.081186014,Wild,SK_MB
MB1W_20,-0.02593973,-0.056209212,8.83E-07,0.11986055,-0.02237113,0.008128401,-0.053716626,Wild,SK_MB
MB1W_30,-0.034405216,-0.054069502,-0.003540483,0.115843436,-0.026546291,0.006603783,-0.057096012,Wild,SK_MB
MB1W_31,-0.022254734,-0.05678407,-0.001453371,0.129241345,-0.030109375,0.010576621,-0.066013439,Wild,SK_MB
MB1W_39,-0.018581367,-0.061365455,0.001418796,0.125793184,-0.027424572,0.005922064,-0.06810141,Wild,SK_MB
MB1W_40,-0.00032891,-0.068827973,0.002884492,0.13039138,-0.027605178,0.010110936,-0.070955761,Wild,SK_MB
MB1W_8,-0.006894806,-0.060103126,0.001383755,0.125158461,-0.022529545,0.010443941,-0.056505367,Wild,SK_MB
MB1W16_2_283,-0.051554356,0.00635501,-0.014937835,-0.00403068,0.008038408,0.00103192,0.002968298,Wild,SK_MB
Mex_A1516,-0.047871613,0.031999791,-0.099821673,-0.032985814,-0.038157768,0.000952494,0.013266766,MexWild,MexWild
Mex_A1572,-0.022946933,0.041689709,-0.101791645,-0.046681964,-0.020895174,0.001690845,-0.006954589,MexWild,MexWild
Mex_Ann261,-0.050082153,0.037550829,-0.095573151,-0.045295625,-0.012120292,0.00204649,0.004729927,MexWild,MexWild
MexCult1,-0.147412984,0.019243987,-0.058196738,-0.050226321,0.041475153,0.009961402,0.012265793,Landrace,Landrace
MexCult15,-0.055516086,0.007068485,-0.017945155,-0.013279597,0.011039612,0.001931893,0.005807938,Landrace,Landrace
MexCult3,-0.108647027,0.013483057,-0.03768876,-0.035196426,0.026464448,0.004414289,0.006151438,Landrace,Landrace
MexCult6,-0.093297003,0.013673206,-0.036731176,-0.028594121,0.020773241,0.002756261,0.006452568,Landrace,Landrace
MexCult9,-0.076962799,0.010363289,-0.026129532,-0.02171825,0.017451553,0.002756704,0.005545271,Landrace,Landrace
MO1W_11,-0.055041239,-0.007014702,0.015303957,-0.041741919,-0.010984951,-0.002734507,-0.003375339,Wild,MO
MO1W_15,-0.063915605,-0.005521721,0.009266776,-0.0427807,-0.006779266,-0.002817095,-0.000730089,Wild,MO
MO1W_16,-0.014367788,-0.01562719,0.035080483,-0.052974647,-0.02425886,-0.005525534,-0.013053928,Wild,MO
MO1W_2,-0.050109948,-0.007313125,0.019656034,-0.046949002,-0.009662487,-0.002714031,-0.004617849,Wild,MO
MO1W_2R,-0.061103755,-0.022586888,0.002283796,0.016042101,-0.006983927,0.000887172,-0.012090109,Wild,MO
MO1W_3,0.010932235,-0.023213238,0.047768295,-0.048635671,-0.035179247,-0.001115367,-0.031371087,Wild,MO
MO1W_33,-0.023517361,-0.018968414,0.036477731,-0.044413678,-0.029679857,-0.003639416,-0.012248052,Wild,MO
MO1W_38,0.03501337,-0.037696391,0.053475182,-0.007783579,-0.03930108,-0.001195125,-0.046396337,Wild,MO
MO1W_39,-0.018785698,-0.012379198,0.008037361,-0.010015708,0.009818251,-0.007604015,0.022098397,Wild,MO
MO1W_7,-0.041686351,-0.011127052,0.021111745,-0.044577376,-0.01389946,-0.002535237,-0.006481309,Wild,MO
MO1W30_1_114,-0.072011783,0.008932998,-0.018672882,-0.013645614,0.010922134,0.000725804,0.005534016,Wild,MO
ND1W_12,-0.017458948,-0.048183849,-0.002421346,0.084026409,-0.005960967,0.003097489,-0.020669697,Wild,ND_SD
ND1W_20,-0.030460822,-0.024159447,0.025550002,-0.009535912,-0.022879448,-0.003744864,-0.024977609,Wild,ND_SD
ND1W_22,-0.070008521,-0.024500214,-0.018925083,0.048918811,0.004626697,0.002397648,-0.003502698,Wild,ND_SD
ND1W_25,-0.047131397,-0.037483717,-0.006621199,0.069327514,-0.003438325,0.003029759,-0.010635481,Wild,ND_SD
ND1W_27,-0.011755253,-0.051400338,-0.000649944,0.091219624,-0.009200992,0.00307537,-0.014198156,Wild,ND_SD
ND1W_31,-0.032881736,-0.044427737,-0.0029587,0.075917327,-0.010492408,0.004714014,-0.008069333,Wild,ND_SD
ND1W_33,-0.033183799,-0.038690725,-0.008657154,0.070640921,-0.00818263,0.001044934,-0.00735051,Wild,ND_SD
ND1W_36,-0.051455769,-0.034244377,-0.010589524,0.058977498,-0.000263238,0.003959386,-0.005457802,Wild,ND_SD
ND1W_38,0.017564319,-0.06598376,0.011562125,0.106305483,-0.024941536,0.004817388,-0.034187774,Wild,ND_SD
ND1W27_2_288,-0.062702477,0.007444245,-0.018146248,-0.005791853,0.009931463,-0.000266655,0.005266901,Wild,ND_SD
NIV1468,-0.07178506,0.124910831,0.015727153,0.037413384,0.009659514,-0.0564881,0.005408956,Niveus,Niveus
NIV1487,-0.068688327,0.137336156,0.021322786,0.043116763,0.00878784,-0.067879107,0.005814499,Niveus,Niveus
Paiute,-0.10008552,0.018389017,-0.04544609,-0.043300209,0.020227118,-0.000705929,0.001185324,Ethnographic,Ethnographic
PET0316,-0.003968484,0.254861757,0.095146243,0.10244838,-0.003315103,-0.10220905,-0.007773477,PetFal,PetFal
PET0372,-0.007400678,0.241991097,0.090845234,0.102040406,-0.001395218,-0.10316541,-0.00740593,PetFal,PetFal
PET0473N,-0.008162743,0.234828966,0.091224913,0.09955422,-0.005682136,-0.098121275,-0.005697891,PetPet,PetPet
PET0531,-0.007598329,0.233926287,0.092012469,0.097210172,-0.004689054,-0.09558327,-0.006168028,PetPet,PetPet
PET0580,-0.005678731,0.237367112,0.093128349,0.098186819,-0.004274541,-0.097350418,-0.005623339,PetPet,PetPet
PET0636,-0.007032374,0.243428673,0.090039681,0.099969419,-0.003650289,-0.102134414,-0.00839087,PetFal,PetFal
PET0654,-0.022507148,0.268527695,0.086896729,0.110293252,-0.006589061,-0.138567555,-0.0021328,Niveus,Niveus
PET0712,-0.01940995,0.271928635,0.089143048,0.112114708,-0.006226399,-0.140461355,-0.003143555,Niveus,Niveus
PET0732,-0.020870775,0.270804137,0.089041989,0.112332558,-0.00688904,-0.142114008,-0.003159664,Niveus,Niveus
San_Ildefonso_Pueblo,-0.065070827,0.009741733,-0.021092766,-0.011621593,0.014682217,0.000908386,0.005109451,EthnoWild,ethnoWild
SD1W_13,0.051827073,-0.024916459,0.052602224,-0.02095357,-0.018001486,-0.003126856,0.000989536,Wild,ND_SD
SD1W_14,-0.041260686,-0.026296232,0.020430086,-0.009311014,-0.016516196,-0.00392494,-0.019712353,Wild,ND_SD
SD1W_15,-0.050164692,-0.035738734,-0.0038314,0.039033095,-0.000257932,0.0048961,-0.023241388,Wild,ND_SD
SD1W_20,-0.006158915,-0.051857588,0.015612014,0.070357405,-0.019094088,-0.001396327,-0.024723288,Wild,ND_SD
SD1W_21,-0.03123297,-0.041185739,0.003867956,0.061026043,-0.01340029,0.002731455,-0.014781431,Wild,ND_SD
SD1W_35,-0.00821227,-0.022969718,0.022181512,-0.004677722,-5.96E-05,-0.007467733,0.009193233,Wild,ND_SD
SD1W_4,0.006250175,-0.05194673,0.021470449,0.070729717,-0.030554879,0.00403699,-0.024863212,Wild,ND_SD
SD1W_6,-0.025610997,-0.044135496,0.010730426,0.057637248,-0.015976228,-0.003061044,-0.021227301,Wild,ND_SD
SD1W11_7_237,-0.041078954,0.005171358,-0.011527003,-0.005269242,0.006589601,0.000516533,0.003468495,Wild,ND_SD
SD2W_14,-0.021403495,-0.035562314,0.021240428,0.031456882,-0.023607601,0.001116872,-0.02860804,Wild,ND_SD
SD2W_15,-0.016829752,-0.038406541,0.023580044,0.033574506,-0.023684441,-0.000781986,-0.032899587,Wild,ND_SD
SD2W_18,-0.007548216,-0.047601453,0.030956917,0.038749044,-0.0308942,-0.001988425,-0.041027724,Wild,ND_SD
SD2W_19,-0.034761997,-0.033041009,0.012985959,0.028551872,-0.019747123,-0.002330253,-0.024057014,Wild,ND_SD
SD2W_21,-0.023853461,-0.034299095,0.022417043,0.02562503,-0.023686766,-0.000904804,-0.023374197,Wild,ND_SD
SD2W_23,0.010338569,-0.049085221,0.044666685,0.037785019,-0.039349862,-0.002063823,-0.055825042,Wild,ND_SD
SD2W_23R,-0.036749241,-0.024897271,0.022638105,-0.009083245,-0.02097634,-0.003985073,-0.024035014,Wild,ND_SD
SD2W_27,0.029591858,-0.051680131,0.041309135,0.046999025,-0.039417416,-0.000322363,-0.049630773,Wild,ND_SD
SD2W_30,-0.038746411,-0.021559959,0.016947992,-0.002318014,-0.014296078,-0.004814274,-0.015934163,Wild,ND_SD
SD2W_38,-0.086832856,-0.015820064,-0.034616674,0.018117482,0.018573475,0.007328401,0.006653307,Wild,ND_SD
SD2W_40,-0.036997835,-0.03220854,0.014614002,0.023843872,-0.014754185,-0.00154338,-0.022418925,Wild,ND_SD
SD2W_5,-0.047788816,-0.025207709,0.009151134,0.018153517,-0.011548193,0.000211302,-0.01369027,Wild,ND_SD
SD2W30_3_360,-0.061133156,0.007924124,-0.01617673,-0.008810438,0.009372672,0.000357997,0.004535581,Wild,ND_SD
Se_Purp,-0.118501407,-0.001056118,-0.050367486,-0.021343387,0.037525677,0.008951081,0.005336673,Ethnographic,Ethnographic
Se_Strip_682a,-0.091229245,-0.014701644,-0.031445245,0.009176076,0.022468137,0.006885234,-0.001813093,Ethnographic,Ethnographic
Se_Strip_682b,-0.068527445,0.008929867,-0.021586305,-0.011696202,0.012494724,0.001854189,0.005755363,Ethnographic,Ethnographic
Seneca,-0.141383853,0.012214462,-0.058578725,-0.058579748,0.048233169,0.012812444,0.006078819,Landrace,Landrace
Seneca_137749,-0.139592093,0.012681254,-0.050461321,-0.054781433,0.0390331,0.007838503,0.008911485,Ethnographic,Ethnographic
SK1W_1,-0.039257121,-0.011081573,0.026813816,-0.045797957,-0.020154877,-0.00266196,-0.006039759,Wild,SK_MB
SK1W_15,-0.024131001,-0.034826426,0.020212877,0.024010333,-0.020468626,0.000321555,-0.023472922,Wild,SK_MB
SK1W_22,-0.005404672,-0.068914462,0.000337514,0.150631653,-0.031112792,0.013661572,-0.066855111,Wild,SK_MB
SK1W_22R,0.003239681,-0.07080189,0.005284508,0.129178259,-0.025207041,0.00794956,-0.059628318,Wild,SK_MB
SK1W_25,-0.048934053,-0.040930013,-0.01101166,0.094546059,-0.009268657,0.005231157,-0.034576301,Wild,SK_MB
SK1W_29,-0.022617267,-0.05905525,-0.004993779,0.124895021,-0.02211828,0.0078886,-0.050762778,Wild,SK_MB
SK1W_29R,0.04427439,-0.07701155,0.010978366,0.162363832,-0.03434413,0.013188361,-0.081632814,Wild,SK_MB
SK1W_36,-0.02745228,-0.054673033,-0.003933992,0.121652022,-0.016507549,0.006836993,-0.050406985,Wild,SK_MB
SK1W_37,-0.00966862,-0.06509719,-0.000486359,0.135777769,-0.02552759,0.01328139,-0.057836552,Wild,SK_MB
SK1W_Q,-0.024730701,-0.055325548,-0.003711428,0.119434212,-0.017019115,0.010710552,-0.048811884,Wild,SK_MB
SK1W15_3_300,-0.044541856,-0.04189099,-0.016512201,0.094519899,-0.006482642,0.010449068,-0.040657082,Wild,SK_MB
Zuni,-0.171681269,0.023794747,-0.068677448,-0.057666076,0.050029713,0.01139878,0.015467559,Landrace,Landrace